order_month,product_category,item_sales,previous_item_sales,item_sales_change
2017-09,agro_industry_and_commerce,1993.99,,
2017-09,air_conditioning,1629.15,,
2017-09,art,388.54,,
2017-09,audio,1042.59,,
2017-09,auto,14126.77,,
2017-09,baby,23232.45,,
2017-09,bed_bath_table,52105.61,,
2017-09,books_general_interest,932.24,,
2017-09,books_imported,290.0,,
2017-09,books_technical,1001.35,,
2017-09,christmas_supplies,254.7,,
2017-09,cine_photo,69.0,,
2017-09,computers,51228.89,,
2017-09,computers_accessories,28040.65,,
2017-09,consoles_games,8150.57,,
2017-09,construction_tools_construction,1240.3,,
2017-09,construction_tools_lights,229.0,,
2017-09,construction_tools_safety,1124.54,,
2017-09,cool_stuff,37547.47,,
2017-09,costruction_tools_garden,251.6,,
2017-09,costruction_tools_tools,916.89,,
2017-09,drinks,244.98,,
2017-09,dvds_blu_ray,39.8,,
2017-09,electronics,4338.96,,
2017-09,fashio_female_clothing,355.7,,
2017-09,fashion_bags_accessories,11778.24,,
2017-09,fashion_childrens_clothes,89.99,,
2017-09,fashion_male_clothing,1177.5,,
2017-09,fashion_shoes,1099.7,,
2017-09,fashion_sport,384.6,,
2017-09,fashion_underwear_beach,1619.9,,
2017-09,fixed_telephony,13692.91,,
2017-09,food,992.92,,
2017-09,food_drink,310.86,,
2017-09,furniture_bedroom,709.6,,
2017-09,furniture_decor,30554.920000000002,,
2017-09,furniture_living_room,1275.87,,
2017-09,furniture_mattress_and_upholstery,86.5,,
2017-09,garden_tools,22028.43,,
2017-09,health_beauty,50649.16,,
2017-09,home_appliances,1820.19,,
2017-09,home_appliances_2,1627.8,,
2017-09,home_comfort_2,12.9,,
2017-09,home_confort,4592.34,,
2017-09,home_construction,1357.81,,
2017-09,housewares,19941.56,,
2017-09,industry_commerce_and_business,219.98,,
2017-09,kitchen_dining_laundry_garden_furniture,409.6,,
2017-09,luggage_accessories,3885.38,,
2017-09,market_place,1147.21,,
2017-09,musical_instruments,8507.4,,
2017-09,office_furniture,9118.67,,
2017-09,party_supplies,269.8,,
2017-09,perfumery,14051.3,,
2017-09,pet_shop,8534.92,,
2017-09,security_and_services,100.0,,
2017-09,signaling_and_security,438.4,,
2017-09,small_appliances,10030.74,,
2017-09,small_appliances_home_oven_and_coffee,640.99,,
2017-09,sports_leisure,48972.11,,
2017-09,stationery,5851.52,,
2017-09,tablets_printing_image,233.9,,
2017-09,telephony,18278.37,,
2017-09,toys,29606.83,,
2017-09,unknown,5774.15,,
2017-09,watches_gifts,44748.96,,
2017-10,watches_gifts,64874.63,44748.96,20125.67
2017-10,computers_accessories,42009.38,28040.65,13968.729999999996
2017-10,unknown,16321.27,5774.15,10547.12
2017-10,office_furniture,17890.83,9118.67,8772.160000000002
2017-10,auto,21419.39,14126.77,7292.619999999999
2017-10,cool_stuff,44348.23,37547.47,6800.760000000002
2017-10,garden_tools,25798.75,22028.43,3770.3199999999997
2017-10,toys,33324.42,29606.83,3717.5899999999965
2017-10,kitchen_dining_laundry_garden_furniture,3428.6,409.6,3019.0
2017-10,home_construction,4201.17,1357.81,2843.36
2017-10,perfumery,16877.82,14051.3,2826.5200000000004
2017-10,telephony,20859.18,18278.37,2580.8100000000013
2017-10,luggage_accessories,6240.34,3885.38,2354.96
