order_month,item_sales,order_count,buyer_count,average_item_sales_per_order,orders_per_buyer,item_sales_growth,buyer_count_growth,orders_per_buyer_growth,average_item_sales_per_order_growth,reconstructed_item_sales,reconstruction_difference
2017-09,607399.67,4150,4083,146.36136626506024,1.0164095028165565,,,,,607399.67,0.0
2017-10,648247.65,4478,4417,144.76276239392587,1.0138102784695495,0.06725057983650196,0.08180259613029639,-0.002557260965982966,-0.010922307654871899,648247.65,0.0
2017-11,987765.37,7289,7183,135.51452462614898,1.014757065293053,0.5237469352954847,0.6262168892913742,0.0009338895487751575,-0.06388547451595838,987765.37,0.0
2017-12,726033.1900000001,5513,5450,131.694756031199,1.011559633027523,-0.264974039330818,-0.24126409578170682,-0.0031509337307316088,-0.02818715267228933,726033.1900000002,-1.1641532182693481e-10
2018-01,924645.0,7069,6974,130.80280096194653,1.013622024663034,0.2735574802027989,0.27963302752293573,0.002038823583082827,-0.006772897388876764,924645.0,0.0
2018-02,826437.13,6555,6400,126.0773653699466,1.02421875,-0.10621143249571452,-0.08230570691138517,0.0104543163813835,-0.03612640981116799,826437.13,0.0
2018-03,953356.25,7003,6914,136.13540625446237,1.0128724327451548,0.15357383567701022,0.08031250000000001,-0.0110780214234949,0.07977673752146264,953356.25,0.0
2018-04,973534.09,6798,6744,143.2088982053545,1.0080071174377223,0.021165057658141917,-0.02458779288400348,-0.004803482798170555,0.051959237831710414,973534.0899999997,2.3283064365386963e-10
2018-05,977544.6900000001,6749,6693,144.84289376203884,1.0083669505453459,0.004119629750202192,-0.007562277580071219,0.00035697476872798006,0.011409874506130624,977544.6900000002,-1.1641532182693481e-10
2018-06,856077.86,6099,6061,140.36364322020003,1.006269592476489,-0.12425706082041121,-0.09442701329747494,-0.0020799551866733657,-0.030924889896205232,856077.86,0.0
2018-07,867953.46,6159,6100,140.9244130540672,1.009672131147541,0.013872102708041067,0.0064345817521860305,0.0033813390531636234,0.003995121678249891,867953.4599999998,1.1641532182693481e-10
2018-08,838576.64,6351,6310,132.03851991812314,1.0064976228209193,-0.03384607741525669,0.03442622950819674,-0.00314409819652417,-0.06305432070548977,838576.6400000002,-2.3283064365386963e-10
